,id,listing_url,name,host_id,host_name,host_location,street,neighbourhood,city,state,zipcode,country,latitude,longitude,is_location_exact,room_type,accommodates,beds,bed_type,price,weekly_price,guests_included,minimum_nights,maximum_nights,has_availability,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value
0,6983,https://www.airbnb.com/rooms/6983,Copenhagen 'N Livin',16774,Simon,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Hovedstaden, Denmark",Nørrebro,Copenhagen,Hovedstaden,2200,Denmark,55.68798,12.54571,t,Private room,2,1.0,Real Bed,369.0,-1.0,1,2,15,t,0,168,35,96.0,10.0,9.0,10.0,10.0,9.0,9.0
1,26057,https://www.airbnb.com/rooms/26057,Lovely house - most attractive area,109777,Kari,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Hovedstaden, Denmark",Indre By,Copenhagen,Hovedstaden,2100,Denmark,55.69163,12.574589999999999,t,Entire home/apt,6,4.0,Real Bed,2399.0,-1.0,4,3,30,t,324,47,7,99.0,10.0,10.0,10.0,10.0,10.0,10.0
2,26473,https://www.airbnb.com/rooms/26473,City Centre Townhouse Sleeps 1-12 persons,112210,Oliver,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Hovedstaden, Denmark",Indre By,Copenhagen,Hovedstaden,1210,Denmark,55.6759,12.57698,t,Entire home/apt,12,8.0,Real Bed,3096.0,17545.0,1,3,31,t,107,263,38,90.0,10.0,9.0,10.0,9.0,10.0,9.0
3,29118,https://www.airbnb.com/rooms/29118,Best Location in Cool Istedgade,125230,Nana,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Hovedstaden, Denmark",Vesterbro,Copenhagen,Hovedstaden,1650,Denmark,55.67069,12.5543,t,Entire home/apt,2,1.0,Real Bed,797.0,-1.0,1,7,14,t,9,21,1,98.0,10.0,10.0,10.0,10.0,10.0,10.0
4,29618,https://www.airbnb.com/rooms/29618,Artsy and familyfriendly home in lovely Copenhagen,127577,Simon And Anna,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Hovedstaden, Denmark",Østerbro,Copenhagen,Hovedstaden,2100,Denmark,55.69375,12.56945,t,Entire home/apt,4,3.0,Real Bed,858.0,2986.0,1,7,31,t,0,90,0,94.0,10.0,9.0,10.0,9.0,10.0,9.0
5,31094,https://www.airbnb.com/rooms/31094,"Very central and cozy, new kitchen",129976,Ebbe,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Vesterbro,Copenhagen,Capital region of denmark,1719,Denmark,55.66744,12.55516,t,Entire home/apt,3,3.0,Real Bed,751.0,4700.0,2,2,10,t,0,17,0,97.0,10.0,10.0,10.0,10.0,10.0,9.0
6,32379,https://www.airbnb.com/rooms/32379,1668 ft2 artist flat on Vesterbro,140105,Lise,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Hovedstaden, Denmark",Vesterbro,Copenhagen,Hovedstaden,1620,Denmark,55.673680000000004,12.552480000000001,f,Entire home/apt,4,3.0,Real Bed,1086.0,7466.0,2,3,365,t,20,72,7,98.0,10.0,10.0,10.0,10.0,10.0,9.0
8,38524,https://www.airbnb.com/rooms/38524,Copenhagen studio in Frederiksberg,165326,Annemette,London,"Frederiksberg, Hovedstaden, Denmark",Frederiksberg,Frederiksberg,Hovedstaden,1852,Denmark,55.676280000000006,12.53801,t,Entire home/apt,2,1.0,Real Bed,744.0,4353.0,1,30,90,t,243,15,1,95.0,9.0,9.0,10.0,10.0,10.0,10.0
10,49122,https://www.airbnb.com/rooms/49122,Private room for 2 in Central CPH,217651,Sara,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Hovedstaden, Denmark",Indre By,Copenhagen,Hovedstaden,1307,Denmark,55.68946,12.57088,t,Private room,2,1.0,Real Bed,348.0,-1.0,1,1,30,t,335,173,20,92.0,9.0,8.0,10.0,10.0,10.0,9.0
12,53776,https://www.airbnb.com/rooms/53776,Cozy 2-room apartment in trendy Vesterbro,246676,Ida,"Copenhagen, Capital Region of Denmark, Denmark","Copenhagen, Capital Region of Denmark, Denmark",Vesterbro,Copenhagen,Capital region of denmark,1660,Denmark,55.66861,12.5521,t,Entire home/apt,2,1.0,Real Bed,677.0,-1.0,1,3,730,t,0,8,2,97.0,10.0,9.0,10.0,10.0,9.0,9.0
